Toiduained|vaata mingit toiduainet, kujutle tema lõhna|
Jäsemed|Puhu kuuma joogi peale!|
Jäsemed|sirutage oma parema käe väike sõrm|
Jäsemed|Ringuta!|
Jäsemed|vaata oma vasaku käe sõrmi|
Jäsemed|tunneta õhku oma käte ümber|
Jäsemed|vaata oma peopesi|
Jäsemed|Siruta ennast nii pikaks kui võimalik!|
Jäsemed|tõsta korraks oma väikest sõrme, mitte liiga palju|
Jäsemed|Ära liiguta 5 sekundit ühtki kehaosa!|
Jäsemed|Liiguta kätt randmest tehes mõned lapiku 8 kujulised liigutused|
Jäsemed|Siruta ja ringuta, lõdvesta jalgu|
Inimesed|Haiguta hääletult.|
Jäsemed|Tõsta mõlemad käed ja ringuta.|
Jäsemed|Mõtle käte liikumisele|
Jäsemed|kirjuta käega õhku oma nimi|
Male|Proovi vangerdada|
Male|Too lipp välja|
Male|Käi mingi viguriga|
Mööbel|Kallista mõnda tooli.|
Male|Astu sammudega nagu ratsu käib males.|
Toiduained|Ampsa naeratades mõnda puuvilja.|
Inimesed|Masseeri oma kulme.|
Liikumine|Kõnni selg ees!|
Liikumine|Keeruta|
Jäsemed|puhu õrnalt (hääletult ja vaevu tuntavalt) oma sõrmedele tuult.|
Mööbel|Hoia tooli õhus ja loe viieni|
Mööbel|Puuduta korraga kaht mööblieset|
Liikumine|Liigu lohiseva sammuga|
Muu|Lisa uus korraldus kategoorias Muu|
Muu|Hinga kolm korda sügavalt sisse ja välja|
Liikumine|Lahku ruumist|
Muu|Varju!|
Male|Pane Ettur taskusse. |
Male|Käi odaga 6 ruutu|
Male|Käi oda või vankri või ratsuga|
Male|Liigu lipuga kolm ruutu tagasi|
Inimesed|Laula hääletult oma lemmiklaulu minuti jooksul. |
Liikumine|Liigu tagurpidi 3 meetrit. |
Liikumine|Väänle natuke aega keedetud spageti moodi.  |
Toiduained|Kujutle sidruni maitset ja tee vastav nägu.   |
Inimesed|Hinga 3 korda tähelepanelikult sisse ja välja.   |
Mööbel|Peida ennast korraks kapiukse taha. |
Muu|Kutsu sõber mängu|
Male|Käi odaga!|
Mööbel|Tõsta või lohista tool laua alla.|
Male|Seisa püsti ja tee endale meelepärase malendi käik|
Jäsemed|Puuduta oma suurt varvast.|
Liikumine|Kõnni 15 sammu.|
Inimesed|Tutvusta ennast kellelegi.|
Muu|Too küttepuud tuppa.|
Muu|Pese hambad ära.|
Liikumine|Jookse 100 m nii kiiresti kui jaksad.|
Toiduained|Tõsta soolatops kaerahelbepaki taha.|
Muu|Joonista pilt.|
Muu|Loe raamatust kaks rida.|
Muu|Õpi pähe 3.1415926535897932384626433|
Male|Vali must või valge.|
Jäsemed|Tee vasaku käega 5 ringi.|
Liikumine|Seisa 20 minutit|
Inimesed|Küsi kelleltki suvaline küsimus, mis esimesena pähe tuleb.|
Mööbel|Meelita koer laua alt välja.|
Muu|Aita kass puu otsa.|
Toiduained|Joo klaas vett.|
Muu|Punu pats.|
Jäsemed|Tee sõlm sõrmedesse.|
Muu|Õpi kolm sõna prantsuse keelt.|
Liikumine|Mine trepist üles|
Jäsemed|Kirjuta kahe pastakaga korraga.|
Liikumine|Mine trepist alla.|
Male|Alusta uut mängu.|
Male|Vangerda|
Male|Käi vastasmängija nupuga|
Male|Tee 4 tunni jooksul tuttavale ettepanek malet mängida.|
Male|Broneeri oma kalendris aeg malemänguks|
Male|Kujutle 5-kroonist kupüüri|
Male|Mõtle kuninga piiratud käimise võimalustele.|
Male|Tee 5 sammu!|
Male|Korda mõttes kolm korda “male,male,male”|
Male|Lõpeta mäng kohe|
Muu|Loo vigane süsteem samasugune nagu see ja korda seda veelkord.|
Male|Käi vankriga!|
Male|Joonista õhku vanker|
Male|tee vangerdus|
Male|Kirjuta näpuga õhku “hispaania avang”.|
Muu|Mine lavale|
Inimesed|Tule lavalt ära!|
Muu|hinga rahulikult sisse, proovi tunnetada kõiki erinevaid lõhnu enda ümber|
Mööbel|Emba andunult lähimat mööblieset.|
Mööbel|nihuta tool seina äärde|
Toiduained|Kujuta ette, et suur hapukurk sööb su ära|
Mööbel|Vaata diivanit ja mõtle, et see on väga kole|
Mööbel|Tõmba sahtel välja!|
Mööbel|Toeta end korraks lauale|
Mööbel|Kohenda end toolil mugavamalt istuma.|
Mööbel|Katsu nurga teravust|
Mööbel|Tõsta jalg laua peale|
Mööbel|Patsuta sõbralikult diivanit.|
Mööbel|Nihuta lauda!|
Mööbel|Ava ja sulge esimesel võimalusel ühe kapi uksed|
Liikumine|Hüple natuke.|
Liikumine|Liigu vasak külg ees lähima ukseni. |
Mööbel|Liiguta tool paremale|
Liikumine|Astu kolm sammu vasakule|
Liikumine|Käi korraks ukse juures ja puuduta linki|
Liikumine|Heida pikali|
Jäsemed|Liigu jalgu lohistades hästi aeglaselt. |
Liikumine|Liigu aegluubis minuti jooksul. |
Liikumine|Liigu 2 sammu edasi, 3 sammu tagasi, 1 samm vasakule ja 4 sammu paremale, siis istu maha. |
Liikumine|Kõnni selg ees 6 meetrit.|
Liikumine|Plaksuta|
Liikumine|Liugu hääletult|
Liikumine|Kujuta ette, lendad raketiga maa orbiiti, ja siis õigel ajahetkel käivitad uuesti raketimootorit, et jõuda marsi orbiidile.|
Liikumine|Liigu aknani ja vaata tähelepanelikult välja. |
Jäsemed|Tõuse kolm korda varvastele|
Liikumine|Käi korraks akna juures|
Inimesed|loe kokku mitut inimest näed|
Inimesed|Anna kellegi midagi|
Inimesed|kõneta kedagi järgneva 5 min jooksul|
Inimesed|Kallista kedagi. |
Inimesed|Naerata oma sisimas iseendale.|
Inimesed|Ütle “head ööd” ja teeskle magamist.|
Inimesed|Aevasta julgelt|
Jäsemed|mängi õhuviiulit|
Inimesed|Patsuta mõnda teist imimest!|
Inimesed|Mõtle kellegi peale ja naerata.|
Inimesed|Kallista sõpra|
Inimesed|Lehvita naabrile|
Inimesed|Mõtle oma kallima peale|
Inimesed|Võta sisse Hamleti monoloogi poos!|
Inimesed|Süga oma selga, sealt kust kõige rohkem sügeleb . |
Inimesed|Vaata avatud suuga üles taeva poole ja hinga sügavalt. |
Inimesed|Mõtle endast kui toredast inimesest.|
Inimesed|Mõtle oma vanavanaisale.|
Liikumine|Pööra ümber.|
Muu|Puhu midagi.|
Liikumine|Mine mujale.|
Liikumine|Veereta midagi|
